,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
644,Young Thug,She Wanna Party (feat. Millie Go Lightly),3WL6yCfh0zw2MxVSWSe0G1,gibberish,0.5,0.235,104.095,0.271,0.125,0.0,0.578,10,250587,-6.656,0.388,0
645,Young Thug,Feel It,2BAmF6QyK5IYEOp1TFmt0u,gibberish,0.513,0.341,124.02,0.121,0.0959,0.0,0.721,7,236587,-7.882,0.31,0
646,Young Thug,Tattoos,1vbUiccx25u2ncTe4RujS2,gibberish,0.685,0.242,102.033,0.0837,0.0039,0.0,0.822,1,241813,-5.872,0.306,0
647,Young Thug,Problem,1o5jdqnWybW9Mau4GDWPMa,gibberish,0.639,0.144,111.968,0.103,0.125,0.0,0.872,8,241453,-5.658,0.469,0
648,Young Thug,Check,1jk9c0gZI0wbn5GvAj7PBV,gibberish,0.581,0.183,110.953,0.323,0.0428,0.0,0.667,0,230693,-5.164,0.368,0
649,Young Thug,Dome (feat. Duke),5kBmoWvzfQgpd1pVGwFwab,gibberish,0.564,0.39,112.938,0.242,0.0383,0.0,0.843,5,231293,-6.004,0.565,0
650,Young Thug,Climax (feat. 6lack),4N9QsmvQJcGwJHAmDmBttU,gibberish,0.362,0.135,122.912,0.231,0.0608,0.0,0.829,0,189093,-11.546,0.369,0
651,Young Thug,Anybody (feat. Nicki Minaj),5I30ByMf5nhgbSokY1EZiN,gibberish,0.472,0.11,120.0,0.194,0.0381,0.0,0.901,11,254947,-8.416,0.479,0
652,Young Thug,Now (feat. 21 Savage),3Ee6DIAcyueyz2wOe81vc3,gibberish,0.353,0.094,130.016,0.331,0.000209,2.48e-06,0.968,6,206773,-7.422,0.0971,1
653,Young Thug,Best Friend,33JcUj9qQDayKswunZP9ar,gibberish,0.598,0.358,127.029,0.0713,0.0358,0.0,0.959,8,213000,-5.534,0.408,1
654,Young Thug,I Know There's Gonna Be (Good Times) [feat. Popcaan],6V5nMvQwsiyW7rEyZq3gfQ,gibberish,0.592,0.53,89.522,0.162,0.124,0.0,0.632,11,213622,-9.735,0.499,0
655,Zaytoven,Mo Reala,6B6MWIzXwsTWQpqYzw9bBI,gibberish,0.52,0.119,110.996,0.131,0.218,0.0,0.878,9,278187,-7.58,0.337,1
656,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,gibberish,0.541,0.115,139.978,0.149,0.0021,0.0,0.716,1,247055,-7.909,0.387,1
657,Lil Baby,Deep End (Lil Baby & Gunna),16QjPRt5HYK0dnLGmGRCvf,gibberish,0.535,0.0981,150.055,0.515,0.257,0.0,0.658,11,174662,-8.197,0.395,1
658,Lil Baby,I Am (Lil Baby & Gunna),3F57PtOdqRpD6euFYqtKXX,gibberish,0.461,0.122,130.003,0.449,0.328,0.0,0.822,1,145060,-6.506,0.268,1
659,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,gibberish,0.578,0.0796,158.896,0.375,0.0509,0.0,0.676,10,203881,-4.669,0.698,0
660,Future,Ain't Livin Right (feat. Gunna),0JR7iZZ6Ql79sXW3rbiS3F,gibberish,0.503,0.226,142.011,0.206,0.0492,0.0,0.755,0,230533,-8.06,0.524,1
661,Metro Boomin,Space Cadet (feat. Gunna),5gub2bpJRgJP4m4MliqtdV,gibberish,0.464,0.238,109.004,0.0645,0.368,1.71e-05,0.901,5,203267,-9.789,0.638,0
662,Metro Boomin,Lesbian (feat. Gunna & Young Thug),3tkFCUaISwablf9MJydsuB,gibberish,0.406,0.109,120.999,0.268,0.636,0.0,0.8,6,206813,-8.892,0.274,0
