,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
1243,Khalid,Bad Luck,2vsuel3g4zaLYSOY0mOMbi,singed,0.52,0.138,164.047,0.0548,0.27699999999999997,0.371,0.43200000000000005,1,231653,-5.515,0.303,0,1
1244,Khalid,Right Back,5A1w94uzc1kO1Zhe8WWxC3,singed,0.42700000000000005,0.171,97.03200000000001,0.308,0.0649,3.6200000000000006e-05,0.789,5,215227,-9.918,0.605,0,0
1245,Khalid,Don't Pretend (feat. SAFE),1E6DEDWDKHoOW0fcFuDghV,singed,0.551,0.124,89.0,0.0815,0.258,0.00551,0.6970000000000001,11,165840,-8.833,0.21899999999999997,1,1
1246,Khalid,Hundred,0HEckRWFSknIupbGzavk5d,singed,0.483,0.377,120.005,0.0564,0.0521,0.000375,0.772,6,277080,-10.06,0.479,0,1
1247,Khalid,Twenty One,1NgCWYuBLfqBDA3b8MgSVU,singed,0.445,0.124,109.98100000000001,0.0371,0.212,0.00409,0.7759999999999999,9,184200,-8.574,0.405,1,1
1248,Khalid,Alive,12VqHHz4wvVcnEdSivjLeQ,singed,0.406,0.171,78.616,0.0425,0.8320000000000001,0.0597,0.386,11,177413,-10.419,0.205,1,2
1249,blackbear,Verbatim,3CEyM9wliTj7TeuuG84KZU,singed,0.493,0.36700000000000005,124.12799999999999,0.0546,0.0578,0.0,0.667,5,216774,-11.207,0.313,0,1
1250,Purity Ring,Fineshrine,5KeyVNymqfqac1wLDseK8v,singed,0.7979999999999999,0.434,130.034,0.0404,0.018000000000000002,8.68e-06,0.609,5,209760,-4.448,0.401,0,1
1251,Purity Ring,begin again,1Bildp7NM39gR3smbMh8W1,singed,0.565,0.307,92.126,0.0471,0.0108,0.0471,0.598,11,217201,-7.763999999999999,0.32799999999999996,0,1
1252,Purity Ring,bodyache,2DopRU3QWz4CWymUUrKvO4,singed,0.657,0.45899999999999996,139.99,0.0628,0.145,5.6999999999999996e-05,0.6459999999999999,0,173214,-5.3,0.413,1,1
1253,Purity Ring,Lofticries,45aZM1UAGfThfsQ6haapFu,singed,0.73,0.201,112.01100000000001,0.0369,0.11599999999999999,0.000356,0.6709999999999999,8,239613,-6.773,0.299,1,1
1254,Purity Ring,Obedear,0AVzhaaOaGgdyXJ2orgfwC,singed,0.732,0.24600000000000002,195.97799999999998,0.15,0.195,0.0135,0.605,6,209573,-5.643,0.134,0,1
1255,Lauv,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,singed,0.625,0.157,147.02,0.0896,0.49,0.0,0.755,2,174861,-7.114,0.374,1,2
1256,Julia Michaels,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,singed,0.467,0.0853,132.85399999999998,0.0302,0.662,0.0,0.518,0,173307,-6.184,0.386,1,2
1257,Julia Michaels,Issues,7vu0JkJh0ldukEYbTVcqd0,singed,0.415,0.0616,114.145,0.0639,0.401,0.0,0.728,8,176320,-6.852,0.455,1,2
